company,country,city,km_to_budapest,website,email,phone,cans_330ml,carbonated,protein_dairy_capable,moq,setup_fee,price_per_can,lead_time,sources_ingredients,does_lab_compliance,certifications,startup_friendly,status,verified_from,notes
"Kikimix Co. Kft.","Hungary","UNKNOWN","UNKNOWN","kikimix.hu/bergyartas2/","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - formats not stated","UNKNOWN","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","N/A - is itself a possible ingredient/flavour supplier","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN","LEAD - LIKELY A SYRUP/FLAVOUR-BASE SUPPLIER, NOT A FILLER","B1 s8, B6 s7.4 - SEARCH-VERIFIED","Bergyartas of flavourings, extracts, jams, soft drinks, fruit syrups and purees; states it handles special requirements. Possible flavour-system supplier for the Lemon-Lime profile."
"Allinpackaging.hu","Hungary","UNKNOWN","UNKNOWN","allinpackaging.hu/bertoltes-bergyartas","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","N/A - packaging supplier","N/A","N/A","N/A","N/A","N/A","N/A","POSSIBLE SOURCE OF CAN / SLEEVE SUPPLY","N/A","UNKNOWN","N/A","LEAD - A BROKER/REFERRAL PAGE, NOT A FILLER","B1 s8 - LIKELY","Packaging supplier running a bertoltes/bergyartas REFERRAL page. Use only as a possible route to blank cans and shrink sleeves."
"Coca-Cola HBC Magyarorszag Kft.","Hungary","Dunaharaszti",~20 (ESTIMATE),"UNKNOWN","UNKNOWN","UNKNOWN","YES - eight production lines covering cans, bottles, Bag-in-Box, carbonated and still","YES","UNKNOWN - no evidence","NO EVIDENCE OF THIRD-PARTY CONTRACT FILLING FOUND","N/A","N/A","N/A","N/A","N/A","UNKNOWN","NO","RULED OUT - realistically a closed system (fills its own and TCCC-licensed brands). Recorded for completeness","B1 s4.2 - LIKELY (moderngyarakejszakaja.hu, dunaharasztionline.hu, profitline.hu, jovogyara.hu)","New fully-automated line + 3000 m2 hall inaugurated Dec 2023: EUR 23 m / HUF 8.7 bn, +30% capacity."
"Szentkiralyi Magyarorszag Kft.","Hungary","Szentkiraly + Kekkut","UNKNOWN","szentkiralyimagyarorszag.hu (/kapcsolat/, /markak/) - EGRESS-BLOCKED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","CANS NOT CONFIRMED - formats stated PET (BPA-free granulate) and glass","YES","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - large group, no small-batch signal","LOW PRIORITY - PROVEN THIRD-PARTY FILLER BUT CANS UNCONFIRMED","B1 s4.3 - LIKELY (companywall.hu, OPTEN, company site summary)","Hungary's largest domestic mineral water / soft drink group; 600 employees, HUF 49.5 bn revenue (2025). PROVEN third-party/licence filling: produces Pepsi, Mirinda, Schweppes, Canada Dry at Szentkiraly; bottles Theodora Calcia, Emese and Nestle Aquarel at Kekkut. GROUP ABSORBED Kekkuti Asvanyviz and therefore Theodora - approach Kekkut/Theodora/(likely)Fonyodi THROUGH this company, not separately."
"Sio-Eckes Kft.","Hungary","Siofok - 8600 Siofok, Gyumolcs utca 6",~105 (ESTIMATE),"www.sioeckes.hu","UNKNOWN - QUOTE REQUIRED","84/501500 (+36 84 501 500)","NO EVIDENCE","NO EVIDENCE - still juice technology","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN","LOW PRIORITY - WRONG TECHNOLOGY","B1 s4.4 - LIKELY (cylex.hu, ceginfo.hu, companywall.hu, OPTEN)","Owner Eckes-Granini International Beteiligungs GmbH. Making fruit juice in Siofok since 1977. 124 employees, HUF 15.0 bn revenue (2024). Contract mfg not advertised. Xixo is a Sio brand - approach via this entity."
"Maspex Olympos Kft.","Hungary","Nyarlorinc, Bacs-Kiskun (NOT Nyirbator - correction to earlier briefs)",~95 (ESTIMATE),"maspex.hu","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","NO EVIDENCE","YES - Apenta is carbonated/flavoured mineral water, so carbonation capability exists","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN","LOW PRIORITY - NO PUBLISHED CONTRACT-MANUFACTURING OFFER","B1 s4.5 - LIKELY (maspex.hu, OPTEN, cylex.hu)","Hungarian subsidiary of the Polish Maspex Group, in Hungary since 1998. 210 employees, HUF 58.8 bn revenue. Brands: Olympos, Apenta, Kubu, Topjoy, Nestea, Plusssz, LaFesta, Brumi, Ekland, Coffeeta. NACE soft drinks + mineral/bottled water. NOTE: a Hungarian-language entry point into a Polish group - useful if Poland is ever re-researched."
"BeverageScouts production & development GmbH","Austria","Hollabrunn (production sites Hollabrunn and St. Polten)",~300 (ESTIMATE: Vienna-Budapest 243 + Hollabrunn-Vienna ~60),"www.beveragescouts.com (/de/getraenkeabfuellung-abfuellanlage.php, /de/frequently-asked-questions.php)","office@beveragescouts.com - RE-VERIFY BEFORE SENDING","+43 (0) 2952 36063 - RE-VERIFY BEFORE CALLING","YES - 150/200/250/330/355/500 ml; 330 ml Sleek confirmed on the micro-line","YES - 'both non-carbonated and carbonated beverages can be filled'","UNKNOWN - QUOTE REQUIRED. Recipe development offered for beverages AND LIQUID FOOD SUPPLEMENTS - whey is not named. THIS IS THE QUESTION TO ASK THEM","TEST FILLINGS FROM 1000 CANS (lowest published can MOQ found anywhere in AT/DE). Regular line from 20000. Micro-line 20000-50000 in 250 ml Slim + 330 ml Sleek. PRINTED cans 150000 per variety and order","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","Recipe development offered as a service","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","YES, STRUCTURALLY - they publish a test-filling tier","RANK 3 OF THE NON-HUNGARIAN OPTIONS - BEST TECHNICAL PROCESS UNDER EUR 3000","B2 s2.1, B6 s1.2, B7 s3.4 - SEARCH-VERIFIED (site text via search index and wlw.de listing; page never opened)","*** POST-FILL TUNNEL PASTEURISATION: 'All cans are pasteurised after filling, so no chemical preservatives are required.' *** That is the technically correct answer for a pH 3.2 protein can - it lets you drop potassium sorbate entirely. Main line since 2009, up to 40000 cans/hour. Packed in trays of 12 or 24. Named contact Michael Heinzl (LIKELY, getraenkeverband.at). Active since 2006. OPEN TECHNICAL RISKS: foaming/protein deposit on the filler; can internal lacquer spec at low pH; whether the pasteuriser's PU load hazes a clear protein soda; micro-line seamer at higher headspace pressure."
"FULLKOPF GmbH","Germany","Steinheim am Albuch, OT Sohnstetten - Fabrikstr. 1, 89555, Baden-Wurttemberg",~820 (ESTIMATE: Budapest-Munich ~690 + ~130 NW),"https://fuellkopf.com/","info@fuellkopf.com - RE-VERIFY BEFORE SENDING","UNKNOWN - a number exists on the gelbeseiten.de listing; NOT SURFACED, NOT GUESSED","YES - Standard 500/330 ml, Sleek 330/250 ml, Slim 250/200 ml","YES - beer, energy drinks, lemonades, soft drinks, RTDs","*** THE ONLY CO-PACKER IN EUROPE FOUND WHOSE OWN SITE NAMES 'PROTEIN DRINKS' AND 'BCAA' AS PRODUCT CATEGORIES. *** Dairy approval scope UNKNOWN - QUOTE REQUIRED","FROM 10000 CANS - site strapline 'FULLKOPF GmbH - Lohnabfullung Dose | Can Filling | Co-Packing | +10.000 cans'. CONFIRM this is a true minimum and not a marketing floor","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","IFS and BIO (organic)","YES, EXPLICITLY - trade press: 'offers small batches, making it a suitable partner for start-ups, small breweries and mid-sized manufacturers'","OUT OF REACH FOR BATCH 1 (10000 cans) - BUT SEND THE ONE HIGHEST-VALUE EMAIL IN THE PROJECT","B2 s3.1, B7 s3.1 - SEARCH-VERIFIED site text; founder/press details LIKELY (inside-getraenke.de, about-drinks.com, dbmb.de)","Can line designed for 35-40 m cans/year. Founded June 2021 by three former Uberkinger employees: Simon Groner, Florian Buhner, Stefano Sambito (ex-national sales manager) - ADDRESS THE ENQUIRY TO SAMBITO. *** THE SINGLE HIGHEST-EXPECTED-VALUE UNASKED QUESTION IN THE WHOLE PROJECT: 'Do you have an EXISTING protein or BCAA formulation we can take under our own label, and at what MOQ and price versus a custom recipe?' *** Also ask whether the IFS scope covers dairy-derived ingredients."
"Taste Your Brand GmbH","Germany","Hamburg",~1150 (ESTIMATE),"www.tasteyourbrand.com (/prototyping, /lohnabfuellung-getraenke, /getraenkeentwicklung, /kontakt)","UNKNOWN - routes through a booking page offering a FREE 30-45 min non-binding consultation","UNKNOWN","YES - 0.25 L Slim, 0.33 L Sleek, 0.33 L Classic","YES - still and carbonated UP TO 5 g/L CO2 (real soda level: tonic ~5-6, Coke ~7)","UNKNOWN - QUOTE REQUIRED - protein is not named","PROTOTYPING FROM 50 LITRES - site states this is approx. 150 x 330 ml. Contract filling from 2000 L via partner network (~6060 cans)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","Recipe development offered: 'first concepts into scalable, economical recipes'","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","YES - THIS IS THEIR ENTIRE BUSINESS MODEL. 'Unlike pure brokers or consultants, we operate our own in-house can filling facility' / 'industrial quality without industrial minimum quantities'","BEST PROTOTYPE ROUTE IN EUROPE - A PROOF, NOT SELLABLE STOCK","B2 s3.2, B6 s1.2, B7 s3.5 - SEARCH-VERIFIED","THE LOWEST ABSOLUTE MINIMUM FOUND ANYWHERE: ~150 real 330 ml cans. Buys gym-manager tastings, a shelf-life trial, photography, an investor sample and a Hungarian label test. *** CRITICAL QUESTION: does the 50 L prototyping line SEAM ONLY, or SEAM AND PASTEURISE? *** With no thermal step and no preservative a pH 3.2 protein can has a fridge-only shelf life of days-to-weeks - fine for tastings, useless for gym distribution. At 150 cans, COURIER OR COLLECT - do not freight."
"Starzinger GmbH & Co KG","Austria","Frankenmarkt, Upper Austria",~470 (ESTIMATE),"www.starzinger.com (/de/startup-launch-program, /en/private-labeling/flexible-contract-bottling, /en/contact)","UNKNOWN - QUOTE REQUIRED (contact page exists, never opened)","UNKNOWN - QUOTE REQUIRED","330 ml SPECIFICALLY UNKNOWN - QUOTE REQUIRED (sizes not enumerated in indexed text)","YES - soft drinks, mixers, iced tea portfolio","UNKNOWN - QUOTE REQUIRED","STARTUP LAUNCH PROGRAM FROM 25000 CANS (standard minimum 125000 cans or 50000 PET)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","'Market in a few weeks' claimed - QUOTE REQUIRED","Structured technical onboarding from the recipe to all relevant filling specifications","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","YES, EXPLICITLY BY NAME - a published startup programme","ROUND-2 TARGET - QUOTE IT NOW SO THE NUMBER EXISTS IN YOUR PITCH DECK","B2 s2.2, B7 s3.6 - SEARCH-VERIFIED","25000 cans x 330 ml = 8250 L. A real commercial launch quantity, not a test. Dedicated single point of contact coordinating planning-production-delivery. ~1000 private-label products produced for customers on all continents (LIKELY, cash.at)."
