company,country,website,email,ingredient,grade_spec,price_per_kg_eur,price_per_kg_huf,moq,ships_to_hungary,protein_percent,certification,status,source_url,notes
"PB Leiner (Tessenderlo Group)","Belgium","pbleiner.com","UNKNOWN - QUOTE REQUIRED","Gelatine and collagen peptides","UNKNOWN","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","TARGET TO CONTACT - website never opened","https://www.pbleiner.com/","NOT VERIFIED. BUY PEPTIDES, NEVER GELATINE - see the gelatine warning row below."
"Nitta Gelatin / Junca Gelatines / Italgelatine / Lapi Gelatine / Ewald-Gelatine / Trobas Gelatine / GELNEX","JP-EU / ES / IT / IT / DE / NL / BR","nitta-gelatin.com; juncagelatines.com; italgelatine.com; lapigelatine.com; ewald-gelatine.de; trobas.nl; gelnex.com","UNKNOWN - QUOTE REQUIRED","Gelatine and collagen peptides","UNKNOWN","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","TARGET LIST TO CONTACT - none of these websites was opened; existence not confirmed","-","Second-tier collagen/gelatine houses named in the ingredient dossier as a contact list, NOT as verified suppliers. Do not treat as findings. Use only if the priority quotes (FloraVita benchmark, FDCM, SuperBulk, GELITA) all fail."
"*** GELATINE WARNING - NOT A SUPPLIER ROW ***","-","-","-","Bovine gelatine","200 Bloom etc.","5.71 (USD 6.61/kg, Germany Q1 2026)","2074","N/A","N/A","88","N/A","SEARCH-VERIFIED market index (ChemAnalyst / IMARC) - PRICE IS REAL, PRODUCT IS UNUSABLE","https://www.chemanalyst.com/Pricing-data/gelatin-1487","GELATINE IS 2.8x CHEAPER THAN COLLAGEN PEPTIDES AND WILL DESTROY THE PRODUCT. 20 g protein needs 22.73 g gelatine in 330 ml = 6.89% w/v. The industry's own Bloom strength test is run at 6.67% w/v cooled to 10 C - i.e. our concentration is ABOVE the standard gelling test concentration, and our can is sold from a gym fridge at 4-8 C, BELOW it. The can would set into a jelly. HYDROLYSED IS MANDATORY AND UNCONDITIONAL. If any supplier or co-packer offers 'gelatine' or 'partially hydrolysed collagen' as a cheaper substitute, refuse. The ~3792 HUF/kg premium for peptides buys the hydrolysis step and is not optional."
"DCA Market Intelligence (price benchmark - NOT A SELLER)","EU","dcamarketintelligence.com","-","WPI 90","Standard WPI90, EU benchmark","32.50 (Jul 2026); 25.75 (8 Apr 2026); 20.50 (Oct 2025)","11798 (Jul 2026); 9347 (Apr 2026); 7442 (Oct 2025)","N/A","N/A","90","N/A","SEARCH-VERIFIED market index (subscription service; index page egress-blocked, figures seen in search extracts)","https://www.dcamarketintelligence.com/update/3734/wpc80-prices-have-gone-up-again-reaching-new-record-prices","DERIVED per-can cost at the Jul 2026 index: 11797.5 HUF/kg / 900 g protein = 13.108 HUF per gram of declared protein. ARCH F uses 10 g whey protein = 11.111 g WPI90 powder = 131.08 HUF/can - by far the largest single line in the 213 HUF/can pilot ingredient cost. RE-CONFIRM THIS BENCHMARK BEFORE ORDERING: it moved ~EUR 7000/tonne in one quarter, so any figure more than 8 weeks old is stale. A 25 kg buyer should budget index +10-25%."
"Arla Foods Ingredients","Denmark","arlafoodsingredients.com","UNKNOWN - QUOTE REQUIRED","Clear / acid-stable WPI","Lacprodan Clear Whey Isolate - high-purity WPI for clear acidified drinks, stays clear in solution, high heat/UHT stability, very low fat and lactose","UNKNOWN - QUOTE REQUIRED (modelling estimate 40.63)","UNKNOWN - QUOTE REQUIRED (modelling estimate 14747)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","90","UNKNOWN - QUOTE REQUIRED","QUOTE REQUIRED - no branded clear-WPI list price is published anywhere; the EUR 40.63/kg figure is an ESTIMATE ONLY","https://www.arlafoodsingredients.com/","ESTIMATE DERIVATION (do not treat as a price): branded application-specific beverage grades typically carry a 15-35% premium over the commodity index; taking the +25% midpoint on the Jul 2026 WPI90 index of EUR 32.50/kg gives EUR 40.63/kg = 14747 HUF/kg = 16.386 HUF per gram of declared protein. THIS SWINGS ARCH F BY UP TO +/- 50 HUF/CAN AND MUST BE REPLACED WITH A REAL QUOTE. Named grade to ask for by name. ALSO ASK THE ACCESS QUESTION FIRST: will you sell 25 kg to a first-time Hungarian buyer in 2026, and what is the lead time?"
"Volac","United Kingdom","volac.com","UNKNOWN - QUOTE REQUIRED","Clear / acid-stable WPI","Volactive Pro2O RTM - WPI range formulated for clear solutions, citrus/melon fruit-flavour compatible","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","90","UNKNOWN - QUOTE REQUIRED","QUOTE REQUIRED - grade name SEARCH-VERIFIED, price never published","https://www.trendhunter.com/trends/volactive-pro2o-rtm","Citrus-flavour compatibility is explicitly claimed for this range, which matches our Lemon-Lime SKU. Ask by grade name. UK freight is worse than DK/DE but a workable grade beats good freight."
"Agropur / Davisco","Canada / USA","agropur.com","UNKNOWN - QUOTE REQUIRED","WPI 90 (clear-capable)","BiPRO - essentially undenatured, fully soluble pH 2.0-9.0","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","90","UNKNOWN - QUOTE REQUIRED","QUOTE REQUIRED - grade name SEARCH-VERIFIED, price never published","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11884219/","The classic pH 2.0-9.0 solubility claim. IMPORTANT TECHNICAL CAVEAT: standard WPI being SOLUBLE at pH 3.2 is not the same as being CLEAR at pH 3.2 through a heat step - clarity is a specific process/grade attribute. Demand a clarity statement in the carbonated, sorbate-preserved, 12-month pack, not just a solubility spec."
"Glanbia Nutritionals / Carbery Group / FrieslandCampina Ingredients / Lactalis Ingredients / Ingredia / Fonterra / Milk Specialties Global / Leprino Foods / Hilmar Ingredients","IE / IE / NL / FR / FR / NZ-EU / US / US-EU / US","glanbianutritionals.com; carbery.com; frieslandcampinaingredients.com; lactalisingredients.com; ingredia.com; fonterra.com; milkspecialties.com; leprinofoods.com; hilmaringredients.com","UNKNOWN - QUOTE REQUIRED","WPI 90, whey hydrolysate, clear beverage grades","UNKNOWN","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED (producers normally price at tonne scale)","UNKNOWN - QUOTE REQUIRED","90 typical","UNKNOWN - QUOTE REQUIRED","TARGET LIST TO CONTACT - none of these websites was opened; existence not confirmed in this research","-","Whey producer contact list from the ingredient dossier, NOT verified findings. Producers price at tonne scale and in a sold-out 2026 market will likely decline a 25 kg first-time order outright. USE THEM TO IDENTIFY A NAMED CLEAR GRADE CODE, THEN BUY THAT GRADE FROM A DISTRIBUTOR. Hilmar is specifically noted as offering clear-beverage isolate grades."
"DCA Market Intelligence (price benchmark - NOT A SELLER)","EU","dcamarketintelligence.com","-","WPC 80","Standard WPC80, EU benchmark","27.50 (Jul 2026); 26.45 (late May 2026); 20.25 (8 Apr 2026); 12.50 (Oct 2025). Instant grade spot up to 29.00","9983 (Jul); 9601 (late May); 7351 (8 Apr); 4538 (Oct 2025). Instant spot 10527","N/A","N/A","80","N/A","SEARCH-VERIFIED market index","https://www.dcamarketintelligence.com/update/3563/protein-trend-pushes-whey-powder-prices-to-record-levels","WPC80 IS REJECTED FOR THIS PRODUCT ON TECHNICAL GROUNDS, NOT PRICE: it carries 4-8% fat plus residual phospholipids and 4-8% lactose, which in an acidified drink gives a PERMANENT MILKY HAZE and a fat ring, and it is not heat-stable enough for a low-pH pasteurised fill. WPC80 is a milkshake ingredient. Its price series is here only because it is the clearest public evidence of the 2026 dairy shortage: EUR 12500/t (Oct 2025) to EUR 20250/t (8 Apr 2026) to EUR 27500/t (Jul 2026)."
"IndexBox (market research - NOT A SELLER)","Europe","indexbox.io","-","Whey protein hydrolysate (WPH)","Whey-dominant hydrolysates, DH > 20%","25.00 - 45.00 (midpoint 35.00)","9075 - 16335 (midpoint 12705)","N/A","N/A","80-85 (82 used in costing)","N/A","SEARCH-VERIFIED market index","https://www.indexbox.io/store/europe-milk-protein-hydrolysate-market-analysis-forecast-size-trends-and-insights/","REJECT. DERIVED: 12705 HUF/kg / 820 g protein = 15.494 HUF per gram of declared protein; 20 g protein = 24.39 g powder = 309.9 HUF/can. That is MORE expensive than WPI90 (13.108 HUF/g) and hydrolysed whey is notoriously BITTER, with bitterness scaling with degree of hydrolysis - and in a zero-sugar clear acidic soda you have almost no masking capacity. It buys a marginally faster absorption curve no gym consumer can perceive. There is no scenario in this project where WPH is the right answer. Listed so you can refuse it when a supplier offers it as a 'premium upgrade'."
"nbinno (price analysis - NOT A SELLER)","CN / global","nbinno.com","-","L-leucine","Food grade, USP/EP/FCC grades analysed","6.92 - 17.29 (corridor USD 8-20/kg; 15.56 used in costing at USD 18/kg)","2511 - 6276 (5649 used in costing)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","~100 by weight, but see note","UNKNOWN - QUOTE REQUIRED","SEARCH-VERIFIED corridor (bulk price comparison article), NOT a quote. Add 15-30% for landed cost","https://www.nbinno.com/knowledge/730-bulk-l-leucine-price-comparison-usp-ep-fcc-grades","THE HIGHEST-ROI 10 HUF IN THE WHOLE FORMULA. ARCH F uses 1.7 g free L-leucine = 1.7 x 5.6488 = 9.60 HUF/can (EUR 0.026). It lifts total leucine from 1.30 g to 3.00 g, i.e. over the ~2.5-3.0 g leucine threshold for maximally stimulating muscle protein synthesis - the one number an informed Hungarian lifter checks and respects, and the thing that converts the collagen fraction from a liability into a non-issue. SOLUBILITY CHECK: 1.7 g / 0.330 L = 5.15 g/L against a solubility of 22-24 g/L at 25 C - safe. CAP FREE LEUCINE AT ~2.5 g/can. TASTE: free leucine is distinctly bitter; at 1.7 g in a citrus-acid matrix this should be manageable but MUST be bench-tested. NITROGEN NOTE: L-leucine declares as only 66.7% of its own weight as protein under N x 6.25 (MW 131.17, one N atom), so 1.7 g adds ~1.13 g of declared protein, not 1.7 g. Note also small-pack laboratory leucine runs up to USD 45/kg - buy food-grade bulk, not lab packs. Beware: adding free amino acids to INFLATE the protein number is 'amino spiking' and is a reputational landmine. Use them to FIX the amino acid profile only."
"Alibaba factory price guide / IndexBox (price corridor - NOT A SELLER)","global","-","-","L-tryptophan","Food grade, bulk","10.37 - 15.56 (corridor USD 12-18/kg; 12.97 used in costing at USD 15/kg). Small quantity USD 12-25/kg","3766 - 5649 (4707 used in costing)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","~100 by weight, but see note","UNKNOWN - QUOTE REQUIRED","SEARCH-VERIFIED corridor, NOT a quote","https://www.indexbox.io/search/food-amino-acids-price-evidence-world-2026/","150 mg costs 0.71 HUF/can (EUR 0.002) - financially invisible. Collagen contains ZERO tryptophan; whey is exceptionally tryptophan-rich. In a 10 g whey + 10 g collagen blend the whey alone contributes ~135 mg against an FAO reference need of ~150 mg for 20 g protein, so the true DEFICIT IS ONLY ~15 mg. NOTE THE CONFLICT WITH THE AGREED FORMULA: the plan specifies 150 mg of ADDED L-tryptophan, while the source dossier's ARCH F adds only 25 mg (15 mg deficit plus analytical margin) for a total of ~160 mg. The cost difference is 0.59 HUF/can - immaterial - but the DECLARED SPEC must match what is actually dosed. Settle this with the formulator before the label is written. SOLUBILITY: 0.15 g / 0.330 L = 0.45 g/L against ~11 g/L solubility - trivially soluble. Sensorially silent at this dose. Declares as 85.7% of its weight as protein (MW 204.23, two N atoms)."
"elchemy (sourcing guide - NOT A SELLER)","EU / US","elchemy.com","-","Erythritol (E 968)","Food grade","3.46 - 5.19 (corridor USD 4-6/kg; organic grades USD 6-9/kg). 4.32 used in costing at USD 5/kg","1255 - 1883 (1569 used in costing)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","N/A","UNKNOWN - QUOTE REQUIRED","SEARCH-VERIFIED corridor (LIKELY - sourcing guide, not an index). Foodcom and FDCM both list erythritol but publish NO PRICE","https://elchemy.com/blogs/chemical-market/where-to-buy-erythritol-supplier-manufacturer-price-uses-guide","DO NOT USE ERYTHRITOL. Two independent reasons and they point the same way. (1) LEGAL: erythritol is authorised in flavoured drinks (FoodEx category 14.1.4, Annex II to Regulation (EC) No 1333/2008) at a maximum of 1.6% AND AS A FLAVOUR ENHANCER, NOT AS A SWEETENER, per Commission Regulation (EU) 2015/1832. 1.6% = 5.28 g/can maximum. At ~70% the sweetness of sucrose that is 3.70 g sucrose-equivalent, against the ~28-35 g sucrose-equivalent a 330 ml soda needs - roughly 11-13% of the required sweetness. It CANNOT be the sweetener. (2) COST: 5.28 g/can x 1.5691 HUF/g = 8.28 HUF/can, which is 43x the cost of the sucralose+Ace-K system that does the entire job for 0.19 HUF/can. CONFLICT FLAG: an earlier ingredient dossier models 8 g of erythritol per can. That dose is ABOVE THE LEGAL MAXIMUM and must not be used. The legal cap governs."
"Tridge / chemtradeasia (price index - NOT A SELLER)","Europe","dir.tridge.com","-","Sucralose (E 955)","Food grade","19.55 (USD 22.61/kg, Europe Q1 2026). Global average USD 16.94/kg; NE Asia USD 13.47/kg","7097","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","N/A","UNKNOWN - QUOTE REQUIRED","SEARCH-VERIFIED market index","https://dir.tridge.com/prices/sucralose","At 60 mg/L = 0.0198 g/can the cost is 0.14 HUF/can. FINANCIALLY IRRELEVANT - do not spend a single hour negotiating sucralose. Note the large regional spread (Europe is ~68% above NE Asia), so a distributor's quote may look shocking either way; it changes the can cost by fractions of a forint. Named producer in the target list: Tate & Lyle (SPLENDA)."
"ChemAnalyst / IMARC (price index - NOT A SELLER)","Germany","chemanalyst.com","-","Acesulfame K (E 950)","Food grade","4.25 (USD 4.911/kg, Germany Q1 2026). France USD 4.982/kg; global corridor USD 4.80-5.35/kg","1541","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","N/A","UNKNOWN - QUOTE REQUIRED","SEARCH-VERIFIED market index","https://www.chemanalyst.com/Pricing-data/acesulfame-potassium-1348","At 100 mg/L = 0.033 g/can the cost is 0.05 HUF/can. RECOMMENDED SWEETENER SYSTEM: sucralose 60 mg/L + Ace-K 100 mg/L = 0.19 HUF/can total, which is 3% of the non-protein deck. Ace-K is also the standard bitterness-masking partner for sucralose."
"easybuyingredients (supplier volume pricing - NOT A PRIMARY INDEX)","global","easybuyingredients.com","-","Steviol glycosides (E 960)","Reb A 97","31.99 - 43.23 (USD 37-50/kg; 10 t tier USD 37/kg). 38.90 used in costing at USD 45/kg","11612 - 15691 (14122 used in costing)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","N/A","UNKNOWN - QUOTE REQUIRED","SEARCH-VERIFIED corridor (LIKELY - supplier pricing article, not a primary index)","https://easybuyingredients.com/blog/stevia-extracts-a-comprehensive-study/","THE CHEAPEST BRAND DECISION IN THE WHOLE PROJECT. At 200 mg/L Reb A97 + 100 mg/L Ace-K the sweetener system costs 0.98 HUF/can versus 0.19 HUF/can for sucralose + Ace-K. THE DELTA IS 0.79 HUF PER CAN - about one tenth of one percent of a 799 HUF RRP. If 'no artificial sweeteners' is worth anything at all to gym positioning in Hungary, it is effectively free. TAKE IT, or at least price both and decide on taste, not on cost. Reb M is a separate, far more expensive grade - do not let a supplier substitute it without repricing. Named target suppliers: Cargill (EverSweet/Reb M), PureCircle/Ingredion, Layn, Sweet Green Fields, Tate & Lyle."
"ChemAnalyst / IMARC (price index - NOT A SELLER)","Europe","chemanalyst.com","-","Citric acid (anhydrous)","Food grade","1.375 (USD 1.59/kg, Europe Jul 2026; USD 1.61/kg Mar 2026)","499","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","N/A","UNKNOWN - QUOTE REQUIRED","SEARCH-VERIFIED market index","https://www.chemanalyst.com/Pricing-data/citric-acid-1438","At 1.50 g/L = 0.495 g/can the cost is 0.25 HUF/can. The primary acidulant for the Lemon-Lime SKU and the main lever on the target pH 3.2. Named target suppliers: Jungbunzlauer (Austrian production, closest major acid source to Hungary - strong first call), Gadot Biochemical, Weifang Ensign, COFCO, plus any Hungarian food-ingredient wholesaler."
"ChemAnalyst (price index - NOT A SELLER)","Europe","chemanalyst.com","-","Malic acid","Food grade","2.20 - 2.265 (USD 2.55-2.62/kg; Netherlands Mar 2026 USD 1642/t)","800 - 822","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","N/A","UNKNOWN - QUOTE REQUIRED","SEARCH-VERIFIED market index","https://www.chemanalyst.com/Pricing-data/malic-acid-1281","At 0.80 g/L = 0.264 g/can the cost is 0.21 HUF/can. Used alongside citric acid to round the sourness and lengthen the citrus profile - standard in zero-sugar citrus sodas. Optional; drop it if the flavour house says the compound already carries the acid."
"NOT SOURCED - ingredient dossier ESTIMATE ONLY","-","-","-","Phosphoric acid 85%","Food grade","1.50 - 2.50 (ESTIMATE, unverified prior knowledge - NOT a quote and NOT an index)","545 - 908 (ESTIMATE)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","N/A","UNKNOWN - QUOTE REQUIRED","ESTIMATE (UNVERIFIED) - no market index or list price was obtained for phosphoric acid anywhere in this research","-","NOT USED IN BATCH 1. Phosphoric acid gives a COLA-type acid profile and is wrong for Lemon-Lime. Listed only because the assignment asked for it and so you recognise it as off-spec if a formulator proposes it. The price band above is an unverified prior-knowledge estimate with no source - do not put it in any budget."
"ChemAnalyst / expertmarketresearch (price index - NOT A SELLER)","Germany","chemanalyst.com","-","Potassium sorbate (E 202)","Food grade","4.37 (USD 5.05/kg, Germany Q1 2026; Q2 USD 5.36/kg; H2-2026 global forecast USD 3.78-4.14/kg)","1585","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","N/A","UNKNOWN - QUOTE REQUIRED","SEARCH-VERIFIED market index","https://www.chemanalyst.com/Pricing-data/potassium-sorbate-1342","At 0.20 g/L = 0.066 g/can the cost is 0.11 HUF/can. Only effective at low pH, which suits pH 3.2. OPEN QUESTION WORTH REAL MONEY: IS A PRESERVATIVE NEEDED AT ALL IF THE CO-PACKER TUNNEL-PASTEURISES? Removing sorbate simplifies the label AND deletes a sack minimum. Ask Opre Label and Bubee this explicitly."
