company,country,website,email,product,moq,price_per_unit_eur,price_per_unit_huf,volume_tier,status,source_url,notes
"aluminum-can.com / IndexBox (price guides - NOT SELLERS)","EU","aluminum-can.com; indexbox.io","-","330 ml can body + end - BULK CONTRACTS, large branded food companies","N/A","0.12 - 0.18","43.6 - 65.3","bulk contract","SEARCH-VERIFIED (LIKELY - secondary source; corroborated by an IndexBox modelled EU landed price of EUR 0.16-0.18)","https://www.indexbox.io/search/food-can-price-evidence-european-union-2026/","THE PRICE YOU CANNOT GET. Shown so you can see the scale penalty you are paying: a large brand buys the same can for roughly HALF what a small order costs. Two independent guides agree on the band, which is mild corroboration."
"Factory-direct (unspecified can makers - price guide, NOT A SELLER)","EU / global","-","-","330 ml can BODY ONLY, ex-works, undecorated, NO LID","100,000+ units","0.069 - 0.121 (USD 0.08-0.14)","25.1 - 43.9","100,000+","SEARCH-VERIFIED (LIKELY - secondary source)","https://www.aluminum-can.com/blog/aluminum-can-prices.html","BODY ONLY, NO END, EX-WORKS - so it is NOT comparable with the rows above without adding an end price (which is UNKNOWN) and freight. Included to show that even the theoretical factory-direct floor requires 100,000+ units, which is 59x batch 1."
"Ball Corporation / Crown Holdings / Ardagh Metal Packaging / CanPack / Trivium / Envases / Nampak","US / US / LU-EU / Poland / NL-EU / ES-EU / ZA-EU","UNKNOWN - not opened in this research","UNKNOWN - QUOTE REQUIRED","330 ml standard and sleek can bodies and ends","UNKNOWN - QUOTE REQUIRED for brite cans; printed-can market minimums are 150,000-200,000","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","full truckload","TARGET LIST - NOT A SUPPLIER LIST. None of these companies was contacted and none of their sites was opened","-","DO NOT WASTE TIME ON THESE FOR BATCH 1 - they will not quote 1,700 cans. Two are worth ONE email each, for one specific question only: CANPACK (Poland - the largest maker closest to Hungary) and ARDAGH (reported to have a low-MOQ digital offering, UNCONFIRMED). The question is: 'What is your minimum order for UNDECORATED / BRITE 330 ml cans, as distinct from printed cans?' The undecorated minimum was never established by anyone on this project and is plausibly much lower than the print-run minimum. That answer determines whether you can EVER buy cans directly or are permanently dependent on a co-packer's stock."
"UNKNOWN - NO SUPPLIER IDENTIFIED","-","-","-","Can ends, 202 B64 / CDL, standard silver","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","all tiers","TOTAL GAP - no end price was obtained at any volume by anyone on this project","-","Ends are normally supplied and applied by the filler as part of the fill, so at batch-1 scale you will most likely never buy them separately. CONFIRM WITH THE CO-PACKER that the end is included in their per-can or per-litre fee, so it does not appear as a surprise line."
"UNKNOWN - NO SUPPLIER IDENTIFIED","-","-","-","Can ends, 202 B64 / CDL, COLOURED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","all tiers","TOTAL GAP","-","A coloured end is a decoration upgrade with its own minimum order. DO NOT PURSUE IN BATCH 1 - it adds a second minimum-order constraint for a cosmetic gain, and a plain silver end under a full-body sleeve is invisible from the shelf anyway."
"*** NONE IDENTIFIED - HIGHEST-PRIORITY GAP ***","Hungary","-","-","Adhesive wrap labels, digital, roll or sheet","UNKNOWN","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","500 / 1,000 / 3,000 / 5,000","TOTAL GAP - NO HUNGARIAN LABEL PRINTER WAS IDENTIFIED, CONTACTED OR PRICED. Not one","-","THIS IS A REAL HOLE IN THE UNIT ECONOMICS AND IT IS CHEAP TO CLOSE - Hungarian label printers are small local businesses that answer the phone. Hungarian search strings to run: 'cimke nyomtatas arak ontapado', 'ontapado cimke nyomda kis peldanyszam ar', 'digitalis cimkenyomtatas Budapest arlista', 'tekercses ontapado cimke gyartas ar 1000 db', 'cimke nyomda arajanlat kis szeriaban', 'italcimke nyomtatas Magyarorszag'. CAPTURE FOR EACH PRINTER: price per label at 500 / 1,000 / 3,000 / 5,000, THE SETUP/ORIGINATION FEE SEPARATELY (at 1,700 units the setup fee dominates - see 15_PACKAGING_NOTES.md), roll-form vs sheet (ROLL IS REQUIRED for machine application), material (PP NOT PAPER - a chilled can condensates and paper labels blister), and turnaround."
"UNKNOWN - NO SUPPLIER IDENTIFIED","-","-","-","Shrink sleeves, digitally printed","LOWER than printed can bodies (structural finding); exact MOQ UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","1,000 - 5,000","GAP - sleeve unit price never obtained at any volume","-","THE AGREED BATCH-1 DECORATION ROUTE (blank silver can + shrink sleeve). Structurally feasible at 1,700 units because sleeve minimums are far lower than can print minimums. A full-body sleeve also covers 360 degrees, which an adhesive wrap label does not, and hides the silver can entirely. QUOTE THE SLEEVE AND THE ADHESIVE LABEL SIDE BY SIDE FROM THE SAME CO-PACKER AND LET THEIR APPLICATION SURCHARGE BREAK THE TIE - see the application row below."
"UNKNOWN - NO SUPPLIER IDENTIFIED","-","-","-","Shrink sleeve APPLICATION (manual labour, machine, or steam/heat tunnel hire or purchase)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","all tiers","GAP - no application cost was obtained in any form","-","THE COST THAT COULD LOSE THE SLEEVE THE ARGUMENT. A sleeve needs a steam or heat tunnel to shrink; an adhesive label does not. At 1,700 cans the application cost may exceed the sleeve's own unit-price advantage. THREE PRICES TO GET: (a) the co-packer's surcharge to apply sleeves as part of the run, (b) manual application labour if you or family do it by hand, (c) tunnel and applicator hire. AT 1,700 CANS, DOING IT BY HAND IS A GENUINELY VIABLE OPTION AND COSTS ONLY TIME - price it before dismissing it."
"Custom Cans Ltd","United Kingdom","UNKNOWN - not opened","UNKNOWN - QUOTE REQUIRED","Digitally printed cans","REPORTED to start from a very small quantity - COMPLETELY UNCONFIRMED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN","UNVERIFIED RESEARCH TARGET - the site was never opened and the low-MOQ claim was never confirmed","-","THE ONLY THING THAT COULD OVERTURN THE BLANK-CAN-PLUS-SLEEVE DECISION: a European digital can printer with a verified MOQ at or below ~2,500 cans and a per-can price under roughly EUR 0.15-0.20 over blank. This is the strongest lead for that. UK freight is bad, but a reachable MOQ beats good freight. EVEN IF THE PRICE WORKS, SEE THE DRS WARNING IN THE ROW BELOW BEFORE ORDERING PRINTED CANS."
"Tonejet / Digican / Dosenprinter / Beverage Can Printing / Print A Can / Cans Direct / Can Central / Alucan / MyCan / Blue Ridge / Kolibri / Bev Can / Ozean / LabelKing / INX-Ball ReAL","various","UNKNOWN - none opened","UNKNOWN - QUOTE REQUIRED","Digital can decoration","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN","UNVERIFIED RESEARCH TARGETS - NOT A SUPPLIER LIST. THE EXISTENCE OF SEVERAL OF THESE COMPANIES IS NOT CONFIRMED","-","DO NOT TREAT THIS ROW AS A SUPPLIER LIST AND DO NOT PUT ANY OF THESE NAMES IN A PLAN. They were named as targets to investigate and none was investigated. Priority order if you chase them: Tonejet, then Digican, then Dosenprinter. German search strings: 'Dosen bedrucken kleine Auflage Mindestmenge', 'Digitaldruck Getraenkedosen Mindestbestellmenge Preis'. Polish: 'puszki z nadrukiem cyfrowym mala seria cena', 'puszki bez nadruku 330ml sprzedaz palet'."
"*** WARNING ROW - DIGITALLY PRINTED CANS AND THE DRS TRAP ***","-","-","-","Digitally printed cans","-","-","-","-","STRUCTURAL WARNING - DECISION IS IRREVERSIBLE AT PRINT TIME","-","EVEN IF A CHEAP LOW-MOQ DIGITAL CAN PRINTER EXISTS, PRINTING ONTO METAL IS THE WRONG CHOICE FOR BATCH 1. Below ~5,000 cans placed on the Hungarian market in a calendar year the product very probably falls outside mandatory DRS: no 50 HUF deposit, no MOHU registration, no 45-day pre-launch gate, AND NO DRS MARK ON THE ARTWORK (status: LIKELY - NEEDS PROFESSIONAL CONFIRMATION). Above 5,000 all of that becomes mandatory. PRINT DRS-LESS ARTWORK ONTO METAL AND YOU HAVE HARD-CAPPED THAT INVENTORY AT 5,000 UNITS FOREVER; print the DRS mark on and you have committed to the deposit system before you know whether the product sells. A LABEL OR SLEEVE KEEPS THE DECISION REVERSIBLE - you print 1,700 non-DRS sleeves now, and when volume justifies it you print DRS sleeves for the same blank cans and scrap zero cans. A first Hungarian label for a novel functional drink will also need at least one revision (nutrition panel, allergen declaration), which costs a reprint on a sleeve and a five-figure write-off on printed cans. RESERVE SPACE IN THE ARTWORK NOW for the DRS mark, the deposit-value text ('visszavaltasi dij: [X] Ft') and the GTIN, even though batch 1 omits the mark - retrofitting means re-originating the whole layout."
"UNKNOWN - NO SUPPLIER IDENTIFIED","Austria / Germany","-","-","Traditionally (directly) printed cans","150,000 pieces PER VARIETY PER ORDER (Austria, published on a supplier site); ~200,000 pieces (Germany)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","150,000+","AT figure SEARCH-VERIFIED (published on site via search extract); DE figure LIKELY (two independent trade reports). Separately, the agreed plan records a published Rhodius minimum of 250,000","-","ELIMINATED FOR BATCH 1 AND FOR YEARS AFTER. 150,000 cans is 88x batch 1; 250,000 is 147x. DERIVED: at the batch-1 landed COGS of ~491 HUF/can, a 150,000-can print run implies about 73,650,000 HUF (EUR 202,900) of production, and 250,000 cans about 122,750,000 HUF (EUR 338,200). There is no negotiation that closes that gap. Traditionally printed cans become relevant only far beyond the 25,000-can point at which wholesale itself becomes viable."
"UNKNOWN - NO SUPPLIER IDENTIFIED","-","-","-","Traditional print plate / origination cost","N/A","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","N/A","GAP - never obtained","-","Irrelevant until 150,000+ cans. Recorded only so the row is not mistaken for an omission."
"UNKNOWN - NO SUPPLIER IDENTIFIED","-","-","-","Shrink tray of 24 (tray + film)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","all tiers","GAP - no secondary packaging price was obtained at any volume","-","At 1,700 cans direct/consignment sales you may not need trays at all - you may be moving cans in cases by hand. PRICE THIS ONLY IF A GYM OR RETAILER ASKS FOR TRAYS. Hungarian search: 'shrink tray 24 cans price', 'raklap zsugorfolia ar Magyarorszag'."
"UNKNOWN - NO SUPPLIER IDENTIFIED","Hungary","-","-","Cardboard case of 12 and of 24","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","all tiers","GAP - never obtained","-","THE ONE SECONDARY-PACKAGING NUMBER THAT IS KNOWN IS THE EPR FEE, NOT THE CARTON PRICE: paper/cardboard EPR is 186/173 HUF/kg (metal V01 186 HUF/kg, paper P01 173 HUF/kg), so a ~350 g shipper of 24 costs about 60.55 HUF in EPR = 2.52 HUF/can (EUR 0.0069). EPR rate LIKELY, per-can result ESTIMATE. SECONDARY PACKAGING IS NOT DRS-EXEMPT - shrink film, trays and shipper cartons are separately EPR-reportable. Hungarian search: 'kartondoboz gyartas 24 db 330ml doboz ar'."
"UNKNOWN - NO SUPPLIER IDENTIFIED","Hungary","-","-","Euro pallet, stretch wrap, corner boards","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","per pallet","GAP - never obtained","-","One pallet holds roughly 1,800-2,300 x 330 ml cans (ESTIMATE), so batch 1 at ~1,700 cans is UNDER ONE PALLET. You need one pallet, one wrap and possibly corner boards - a rounding error, but get the number so it is not a surprise. Hungarian search: 'EUR raklap ar 2026'."
"Groupage freight (no carrier identified)","Austria / Germany to Budapest","-","-","Pallet groupage freight to Budapest","1 pallet","Austria 120-250 per pallet; northern Germany 250-450 per pallet. PER CAN: 0.06 - 0.12","Austria 43,560-90,750 per pallet; northern Germany 90,750-163,350 per pallet. PER CAN: 21.8 - 43.6","1 pallet (~1,800-2,300 cans)","ESTIMATE - no carrier was quoted","-","FREIGHT ALONE IS 4-9% OF THE ~491 HUF LANDED COGS. AUSTRIA IS ROUGHLY HALF THE COST OF NORTHERN GERMANY - this is a real argument for BeverageScouts (Hollabrunn, AT) over any German filler, and a much bigger argument for a Hungarian filler (Opre Label, Bubee) where this line largely disappears. At batch 1 you ship under one pallet, so you pay the whole pallet rate regardless: the per-can freight cost is at its WORST at 1,700 cans and improves immediately with volume."
"GS1 Hungary","Hungary","https://gs1hu.org/","UNKNOWN - QUOTE REQUIRED","GTIN / barcode licence and membership","N/A","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","N/A","URL SEARCH-VERIFIED; FEES NEVER OBTAINED - QUOTE REQUIRED","https://gs1hu.org/","EFFECTIVELY MANDATORY FOR ANY RETAIL LISTING AND FOR ANY LATER DRS REGISTRATION. DO NOT BUY CHEAP RESOLD BARCODES - they will likely fail DRS registration, which requires the GTIN to be associated with the registered producer. Budget for GS1 Hungary properly. This is an unbudgeted line in the current batch-1 plan; get the fee before finalising artwork, because the barcode has to be on it."
"*** EPR / DEPOSIT COST REFERENCE - NOT A SUPPLIER ***","Hungary","-","-","Metal beverage packaging EPR (V01) and the DRS threshold","N/A","0.0067 per can (metal EPR)","2.42 per can (metal EPR at 13 g can weight)","under 5,000 cans/year","EPR rate 186 HUF/kg LIKELY; per-can result ESTIMATE. Empty weight of a 330 ml can + end is an industry range of 13-15 g and is UNSOURCED","-","BELOW ~5,000 CANS PER CALENDAR YEAR YOU PAY EPR OF ROUGHLY 2.4-2.8 HUF/CAN AND NOTHING ELSE - no 50 HUF deposit, no MOHU registration, no 45-day gate, no DRS mark. Above 5,000 the EPR fee on the can disappears and the full DRS regime applies instead. STATUS: LIKELY - NEEDS PROFESSIONAL CONFIRMATION. THIS IS THE MOST IMPORTANT NUMBER ON THIS FILE AFTER THE CAN PRICE, because it is decided irreversibly at the artwork stage. Two open items: confirm the real empty weight of a 330 ml can + end (13-15 g is unsourced), and confirm the MOHU DRS producer handling fee per unit beyond the 50 HUF deposit (UNKNOWN - it only bites above 5,000 units)."
