Nr;Sehenswuerdigkeit;Dateiname;Fotograf;Lizenz;Quelle;URL;Anmerkung
14;Stuðlagil;studlagil-v2.jpg;Justin Wei;Unsplash License;Unsplash;https://unsplash.com/photos/Y-Zm61l7RJY;kleine, entfernte Personen sichtbar
15;Hengifoss;hengifoss-v2.jpg;Misha Martin;Unsplash License;Unsplash;https://unsplash.com/photos/whBqCiFOXVo;
16;Seyðisfjörður;seydisfjordur-v2.jpg;Freysteinn G. Jonsson;Unsplash License;Unsplash;https://unsplash.com/photos/OtB3NJcTd80;minimaler Schneefleck am Berg im Hintergrund
17;Eystrahorn;eystrahorn-v2.jpg;M_art;Pexels License;Pexels;https://www.pexels.com/photo/clouds-over-volcanic-rocky-mountain-ridge-4425503/;Motiv-Zuordnung moderat sicher (generischer Titel, unter Eystrahorn-Suche gefunden)
18;Vestrahorn / Stokksnes;vestrahorn-v2.jpg;Alessio Zappatore;Unsplash License;Unsplash;https://unsplash.com/photos/fPfU7WWMqyk;kleiner Schneefleck auf einem Gipfel
19;Jökulsárlón;jokulsarlon-v2.jpg;Ankit Sood;Unsplash License;Unsplash;https://unsplash.com/photos/_H_0NxohRqU;Eis erwuenscht (Ausnahme-Ort)
20;Diamond Beach;diamond-beach-v2.jpg;Bingqi Huang;Unsplash License;Unsplash;https://unsplash.com/photos/sy3GE6OM0Eg;Eis erwuenscht (Ausnahme-Ort)
21;Vatnajökull;vatnajokull-v2.jpg;Sharad kandoi;Unsplash License;Unsplash;https://unsplash.com/photos/07hsKrleFGw;"Eis erwuenscht (Ausnahme-Ort); kleine Wandergruppe sichtbar"
22;Svartifoss;svartifoss-v2.jpg;Yvon Hoogers;Unsplash License;Unsplash;https://unsplash.com/photos/e0YOht7NgyE;winziger Schneerest am unteren Bildrand
23;Fjaðrárgljúfur;fjadrargljufur-v2.jpg;Matthew DeVries;Pexels License;Pexels;https://www.pexels.com/photo/body-of-water-between-mountains-3082313/;
24;Dyrhólaey;dyrholaey-v2.jpg;Jorge Fernández Salas;Unsplash License;Unsplash;https://unsplash.com/photos/zhfhV0I2q7Q;
25;Reynisfjara / Reynisdrangar;reynisfjara-v2.jpg;Denys Nevozhai;Unsplash License;Unsplash;https://unsplash.com/photos/P1Irb5y18-A;
26;Sólheimajökull;solheimajokull-v2.jpg;Martin Robles;Unsplash License;Unsplash;https://unsplash.com/photos/RRA6pqTb9dI;Eis erwuenscht (Ausnahme-Ort)
27;Skógafoss;skogafoss-v2.jpg;Nuno Antunes;Unsplash License;Unsplash;https://unsplash.com/photos/Jv9OeJFS2IU;
28;Seljalandsfoss;seljalandsfoss-v2.jpg;Pavol Svantner;Unsplash License;Unsplash;https://unsplash.com/photos/ycWERAjwEAQ;Besuchergruppen im Hintergrund sichtbar
29;Gljúfrabúi;gljufrabui-v2.jpg;ArtHouse Studio;Pexels License;Pexels;https://www.pexels.com/photo/a-waterfall-flowing-from-a-rocky-mountain-7741272/;Luftaufnahme von oben statt seitlicher Ansicht
30;Reykjadalur (Hveragerði);reykjadalur-v2.jpg;Olena Shmahalo;Unsplash License;Unsplash;https://unsplash.com/photos/gSIqw8zo0QQ;
31;Þingvellir;thingvellir-v2.jpg;Alex He;Unsplash License;Unsplash;https://unsplash.com/photos/zXxzPIvcYZ4;kleine, entfernte Personen sichtbar
32;Strokkur (Geysir);strokkur-v2.jpg;Piotr Musioł;Unsplash License;Unsplash;https://unsplash.com/photos/WxMTLrXlTjQ;Besuchergruppen im Hintergrund sichtbar
33;Gullfoss;gullfoss-v2.jpg;Martti Salmi;Unsplash License;Unsplash;https://unsplash.com/photos/AXh5eEGa9ko;winziger Schneefleck am fernen Berg
34;Kerið;kerid-v2.jpg;Luca Florio;Unsplash License;Unsplash;https://unsplash.com/photos/L4m5EEUVc1k;
35;Kirkjufell;kirkjufell.jpg;;;;;Quelle noch offen — Bene fragen
36;Sigöldugljúfur;sigoldugljufur.jpg;;;;;"Quelle noch offen; Motiv-Zuordnung unsicher (ein Fall statt der Wasserfallreihe)"
37;Gunnuhver;gunnuhver.jpg;;;;;Quelle noch offen
38;Þjórsárdalur;thjorsardalur.jpg;;;;;"Quelle noch offen; Motiv passt nicht (Küste statt Binnental)"
