brand,product,country,markets,size_ml,protein_g,protein_source,caffeine_mg,calories_kcal,sugar_g,sweeteners,price_local,price_eur,channel,positioning,manufacturer,status,source_url
Clean Simple Eats,Frosted Lemonade Clear Protein Soda,USA,USA,UNKNOWN,20,ultrafiltered whey protein isolate,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Carbonated clear protein soda. Third independent formulator at exactly 20 g,Clean Simple Eats,SEARCH-VERIFIED (secondary listicle source only),https://blog.buckedup.com/2026/04/30/best-carbonated-protein-sodas-2026/
NXTUP,protein soda,USA,USA,UNKNOWN,20,whey protein isolate,UNKNOWN,80,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"""German-engineered formula"". Fourth independent formulator at 20 g and 80 kcal",UNKNOWN,SEARCH-VERIFIED (secondary listicle source only),https://blog.buckedup.com/2026/04/30/best-carbonated-protein-sodas-2026/
Protein2o,20g Whey Protein Isolate Hydration Drink,USA,USA,500 (16.9 oz bottle),20,whey protein isolate,0,90,0,"no artificial sweeteners (brand claim)","USD 3.99-9.69 per bottle; 4-packs USD 7.97-31.88 (aggregated retail range across retailers/promos - indicative only)","UNKNOWN - no verified USD/EUR rate this session, conversion deliberately NOT made","Walmart; Amazon","*** NOT CARBONATED. *** Still protein water in a PET bottle, 3 g net carbs, 350-370 mg electrolytes, B5/B6. Listed to correct an earlier assumption in the brief - do not count it as a carbonated competitor",Protein2o,SEARCH-VERIFIED,https://www.walmart.com/ip/Protein2o-20g-Whey-Protein-Isolate-Electrolytes-Drink-Variety-Pack-16-9-fl-oz-Pack-of-12/392681214
Isopure,Clear Protein / Infusions,USA,USA,N/A - POWDER,20 per scoop,whey protein isolate,0,90,0,"no artificial sweeteners (brand claim)",UNKNOWN,UNKNOWN,"Walmart; Target; Amazon; GNC","*** POWDER, NOT AN RTD. *** Mixed into 14-18 fl oz of water by the consumer. Listed only to correct the brief's assumption that this was a sparkling RTD",Glanbia (The Isopure Company),SEARCH-VERIFIED,https://www.theisopurecompany.com/products/clear-protein-powder
NOCCO,NOCCO BCAA / BCAA+,Sweden,"Nordics; UK; wide EU; SOLD IN HUNGARY (GymBeam and others)",330,"~3 (DERIVED from ~0.9 g/100 ml label)","BCAA 8:1:1 leucine/valine/isoleucine, >=3000 mg; some SKUs marketed at 5 g BCAA. THIS IS AMINO ACIDS, NOT PROTEIN",180 (a caffeine-free Apple SKU exists),low - exact UNKNOWN,0,sugar-free - sweetener UNKNOWN,"HUNGARY: 690 HUF (Arukereso lowest) - 790 HUF (GymBeam RRP) - 940 HUF (other SKU). ICELAND: 349 ISK","1.90 - 2.59 (HU)","Grocery; gyms; convenience; online; GymBeam.hu","*** OUR REAL SHELF COMPETITOR IN HUNGARY, AND THE SHAPE OF THE EUROPEAN ANSWER. *** Europe's most successful functional can - our exact format, our exact channel, zero sugar - with essentially NO protein. Vitamin Well deliberately did not go after 20 g. Their Hungarian price band 690-940 HUF is the single most important pricing fact in this file: our 799 HUF RRP sits inside a band Hungarian gym consumers already pay for a can with ~3 g of amino acids. Steal their DISCIPLINE, not their graphics: one layout, one colour per flavour, three messages maximum on the front",Vitamin Well Group,SEARCH-VERIFIED (specs from nocco.com via search index; HU prices 2nd-hand from sibling dossier C2),https://nocco.com/our-products/
Barebells,Protein Milkshake 330 ml,Sweden,"wide EU; SOLD IN HUNGARY (GymBeam, HomeGym, BodyWorld, Vilgain)",330,~20-24 (dairy),"milk protein - OPAQUE MILKSHAKE, not clear, not carbonated",0,UNKNOWN,UNKNOWN,UNKNOWN,"HUNGARY: 890-999 HUF. ICELAND: 531 ISK","2.45 - 2.75 (HU)","Sports e-tail; gyms; grocery","*** THE PRICE CEILING AND THE CLEAREST POINT OF DIFFERENCE. *** Same 330 ml format, comparable protein, sold in the same fridges - at 890-999 HUF. Hungarians already pay ~4x the price of a Hell energy drink (230-319 HUF) for this. But it is an OPAQUE DAIRY MILKSHAKE. Cold, clear and fizzy is our entire differentiation, which is why the word SODA must be on the front of the can",Barebells (owner UNKNOWN - do not assume),SEARCH-VERIFIED (2nd-hand from sibling dossier C2; Arukereso/Iceland aha.is snippets),https://feherje.arukereso.hu/barebells/protein-milkshake-330ml-p431815668/
Vitamin Well,Vitamin Well range,Sweden,"Nordics; wide EU; Hungary presence UNKNOWN",UNKNOWN,UNKNOWN,"not a protein product - vitamin/functional water",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"*** NOT RESEARCHED - LISTED SO THE GAP IS VISIBLE. *** Matters only as the parent group of NOCCO. Do not put any number against this row until someone verifies it",Vitamin Well Group,NOT RESEARCHED - no data obtained in this project,UNKNOWN
Myprotein,"Clear Whey Isolate; Clear Protein Whey & Collagen",UK,"wide EU; SOLD IN HUNGARY via myprotein.hu",N/A - POWDER,UNKNOWN per serving,"clear whey isolate; and a whey + COLLAGEN blend variant",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,myprotein.hu (DTC),"*** THE PROOF THAT OUR ARCH F ARCHITECTURE IS ALREADY SOLD IN HUNGARY. *** A whey + collagen ""clear protein"" blend is not exotic here - the market leader in online sports nutrition already lists one. That is cover for our formulation when a gym owner asks why there is collagen in it. NOTE: POWDER, not an RTD - it is not a shelf competitor, it is a credibility precedent. The Whey & Collagen variant is 2nd-hand from sibling files and was NOT independently verified",Myprotein (THG),"SEARCH-VERIFIED that myprotein.hu lists Clear Whey Isolate (snippet, page never opened). Whey & Collagen variant: SEARCH-VERIFIED 2nd-hand - RE-CHECK BEFORE QUOTING IT TO ANYONE",https://myprotein.hu/sports-nutrition/clear-whey-isolate/12081395.html
ProteinaCo,Clear Whey Protein Isolate,Hungary,Hungary,N/A - POWDER,25 per serving,clear whey protein isolate,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"790 HUF per 25 g single-serving sachet; 7,638 HUF per 300 g tub",2.17 (sachet),proteinaco.hu (DTC),"*** A HUNGARIAN CONSUMER ALREADY PAYS 790 HUF FOR ONE SERVING OF CLEAR WHEY POWDER THEY HAVE TO MIX THEMSELVES. *** We are asking 799 HUF for the same category of protein, already mixed, cold, carbonated and in a can. This is the strongest single price argument we have",ProteinaCo (Hungary),SEARCH-VERIFIED (2nd-hand from sibling dossier C2; snippet only),https://www.proteinaco.hu/clear-whey-protein-isolate-1-adag-25-g/
Ehrmann,High Protein Drink,Germany,"Germany; Austria (SPAR); Hungary (Tesco)",250,20,"milk protein - OPAQUE, not carbonated",0,UNKNOWN,no added sugar,UNKNOWN,UNKNOWN - PRICE NOT CAPTURED IN ANY SOURCE,UNKNOWN,"Grocery: Tesco Hungary; SPAR Austria","The protein RTD that has crossed into mainstream GROCERY in both our markets, at the same 20 g spec. Lactose-free, gluten-free, low fat. Its Tesco HU shelf price is a HIGH-PRIORITY unknown - it probably sets the mass-market anchor for what ""20 g of protein in a container"" is worth in Hungary. Not a format competitor (opaque, still, 250 ml plastic)",Ehrmann AG,"SEARCH-VERIFIED (2nd-hand; SPAR AT listing confirmed to exist, PRICE NOT CAPTURED)",https://www.spar.at/produktwelt/ehrmann-high-protein-high-protein-drink-chocolate-p2020005420601
WOW Hydrate,Protein Pro,UK,"UK; sold in Iceland",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,fitnesssport.is (Iceland),Protein water - specs NEVER VERIFIED. Listed only so it is not forgotten,WOW Hydrate,NOT VERIFIED - name and channel only,https://fitnesssport.is/products/protein-pro-wow-hydrate
-- NOTE 1 --,THE 20 g FORMULATION CEILING,-,-,~355,20,-,-,80-100,0,-,-,-,-,"*** 20 g PER ~355 ml IS THE PRACTICAL FORMULATION CEILING FOR COMPLETE PROTEIN IN A CARBONATED CLEAR CAN. *** FIVE INDEPENDENT FORMULATORS CONVERGED ON THE SAME NUMBER: Fizzique (20 g / 355 ml / 80-90 kcal), C4 Sparkling Protein (20 g / 95 kcal), NXTUP (20 g / 80 kcal), Clean Simple Eats (20 g), Bucked Up 12 oz (20 g / 355 ml / 90 kcal). Convergence by five parties who do not share a formulator is strong evidence of a physical limit, not a coincidence. THE ONLY TWO WAYS ANYONE EXCEEDS IT: (a) change the format - Bucked Up needs 473 ml to carry 25 g; (b) dilute the protein quality - Protein Pop Plus reaches 30 g only by blending whey isolate with bovine collagen. Fizzique holds 7 US patents on this, which is direct evidence it is a hard problem with defended IP, not an obvious gap everyone overlooked",-,DERIVED from the SEARCH-VERIFIED rows above,-
-- NOTE 2 --,OUR 330 ml IS ~7.6% MORE CONCENTRATED THAN THE INDUSTRY STANDARD,Hungary,Hungary,330,20,ARCH F: 10 g hydrolysed bovine collagen + 10 g whey isolate + 1.7 g L-leucine + 150 mg L-tryptophan,0,~80,0,sucralose + acesulfame K,799 HUF RRP (range 699-899),2.20,"Direct + gym consignment, batch 1","*** ARITHMETIC: 20 g / 330 ml = 6.06 g protein per 100 ml. Industry standard 20 g / 355 ml = 5.63 g per 100 ml. 6.06 / 5.63 = 1.076, i.e. WE ARE ASKING FOR 7.6% MORE PROTEIN CONCENTRATION THAN THE PRODUCT THE WHOLE US CATEGORY CONVERGED ON. *** Half our protein is collagen, which is fully soluble and optically clear at pH 3.2, so this is probably survivable - the ~10 g of whey isolate is well inside normal. BUT THIS IS A DIRECT QUESTION FOR THE CO-PACKER'S TECHNOLOGIST BEFORE ANY MONEY MOVES: can you hold 20 g total protein solids clear and stable in 330 ml at pH 3.2 under carbonation, through shelf life? If the answer is no, the honest options are 330 ml at 15-18 g, or 355 ml at 20 g. DO NOT COMMISSION ARTWORK BEFORE THIS IS ANSWERED",Opre Label (target) / Bubee Hungary (backup),DERIVED (arithmetic shown) - the technical question is NEEDS PROFESSIONAL CONFIRMATION,-
-- NOTE 3 --,THE EUROPEAN GAP - WHY THIS IS STILL WORTH DOING,Europe,Europe,-,-,-,-,-,-,-,-,-,-,"*** NO COMPLETE-PROTEIN CARBONATED CAN WAS FOUND SHIPPING ANYWHERE IN THE EU. *** Everything verified shipping in Europe sits at 5.9-15 g and uses collagen or BCAA: COLLAB 5.9 g marine collagen, Mist Uppbygging 15 g collagen, NOCCO ~3 g as BCAA. The only 20 g complete-protein carbonated can in Europe is UPP - launched June 2026 in ICELAND, which is EEA and not EU, by a listed company with its own can line. THIS IS NOT WHITESPACE, IT IS A HEAD START MEASURED IN MONTHS. Fizzique proved the technology in 2017; C4, Bucked Up, Protein Pop and Premier Protein all moved in the US in 2026. Underwrite this as a SPEED AND DISTRIBUTION RACE, not as an invention. ABSENCE OF EVIDENCE CAVEAT: no dedicated UK, German or Polish sweep was ever completed - a European entrant may exist that this project never found",-,"SEARCH-VERIFIED for what was found; the European negative is ABSENCE OF EVIDENCE, not evidence of absence",-
